ранг	кандзи	freq	pmw	кум%	написания
1	人	657173	3364.5481	1.109	人(284419)/人間(42471)/二人(23681)/一人(22833)/個人(17892)/人々(15614)/法人(12632)/人生(10934)/主人(9669)/友人(9142)/人気(9042)/人口(8931)/本人(8492)/人物(8366)/老人(8012)/大人(7755)/他人(6702)/１人(5724)/２人(4992)/犯人(4658)
2	一	585656	2998.4004	2.097	一(304932)/一般(25348)/一人(22833)/一緒(17957)/一方(17908)/一番(17128)/一部(14529)/一定(7127)/一体(6469)/一時(5108)/一生(5020)/一瞬(4438)/一応(4175)/統一(4047)/一致(3811)/一層(3635)/同一(3594)/一日(3557)/唯一(3530)/一言(3493)
3	日	511563	2619.0643	2.961	日(197590)/日本(118216)/今日(35812)/毎日(11820)/昨日(10943)/明日(10424)/１日(7250)/日常(6555)/日時(5444)/日曜(4351)/日間(4278)/先日(4251)/日々(3901)/翌日(3861)/当日(3690)/日記(3581)/一日(3557)/本日(3550)/朝日(3226)/日米(2748)
4	年	436583	2235.1869	3.697	年(253782)/年度(31883)/年間(16208)/年金(12376)/少年(10872)/今年(10386)/年齢(10133)/前年(6467)/昨年(6314)/毎年(4843)/青年(4664)/近年(4312)/来年(3188)/去年(2985)/半年(2715)/青少年(2628)/元年(2212)/翌年(2097)/学年(2041)/年末(2004)
5	大	425806	2180.0116	4.416	大(49366)/大きな(30223)/大学(27098)/大きく(19150)/大臣(17224)/大変(13857)/大切(12472)/大阪(10374)/拡大(9784)/大きい(9757)/最大(9015)/大事(8497)/大丈夫(8493)/大人(7755)/大会(7240)/大き(6637)/大統領(5442)/大量(5372)/大好き(4485)/巨大(4344)
6	分	364111	1864.1499	5.031	自分(110543)/分(62529)/部分(24792)/十分(15432)/分野(8875)/気分(8419)/分析(7956)/半分(6560)/処分(6521)/分から(5682)/分かり(5646)/分け(4821)/分かっ(4238)/分類(4128)/分かる(3976)/多分(3558)/充分(3514)/成分(3393)/区分(3166)/分布(3067)
7	出	362018	1853.4343	5.641	出(61633)/出し(24512)/出来(14791)/出る(13196)/出す(9241)/提出(7729)/出品(7694)/出来る(6680)/輸出(6156)/出さ(5611)/出版(5589)/出身(5054)/出発(4871)/思い出し(4759)/出演(4345)/出かけ(4267)/支出(3601)/出席(3312)/出来事(3134)/出会い(3095)
8	行	339438	1737.8308	6.214	行っ(48479)/行く(23671)/行う(22805)/行わ(20364)/行動(15924)/行為(15042)/行き(14806)/銀行(13857)/行政(13745)/旅行(9387)/行い(8665)/実行(6772)/発行(6325)/飛行(6091)/行か(5568)/執行(5344)/施行(4564)/行け(4276)/進行(4141)/行(3954)
9	中	338046	1730.7041	6.785	中(145841)/中国(22345)/中心(20911)/中央(12682)/途中(7849)/中学(6187)/集中(6099)/背中(4105)/田中(3983)/世の中(3760)/連中(3672)/中間(3319)/中身(3172)/中村(2700)/中止(2422)/中世(2242)/夜中(2218)/真ん中(1943)/日中(1869)/中華(1840)
10	生	330955	1694.4001	7.343	生活(42167)/生(32714)/先生(26711)/生産(19395)/発生(15701)/生き(15005)/生まれ(14770)/人生(10934)/学生(8819)/生徒(8147)/生じ(6952)/厚生(6570)/誕生(6424)/生命(6186)/生物(5917)/再生(5828)/一生(5020)/生きる(4813)/生涯(4435)/生理(3316)
11	本	328512	1681.8926	7.898	日本(118216)/本(39621)/本当(24921)/基本(23663)/資本(9122)/本人(8492)/本来(6745)/本部(4874)/本日(3550)/本格(3457)/山本(3334)/本質(3101)/本書(2981)/根本(2736)/本気(2529)/本物(2355)/松本(2050)/本体(1753)/本社(1737)/熊本(1620)
12	事	324989	1663.8558	8.446	事業(46534)/事(38595)/仕事(37462)/事件(21187)/事務(16205)/事実(15125)/事故(11612)/食事(10491)/事項(8594)/記事(8575)/大事(8497)/工事(7764)/事情(7587)/事態(5344)/返事(4607)/刑事(4535)/軍事(4340)/理事(4170)/知事(4004)/事前(3800)
13	時	324680	1662.2738	8.994	時(131184)/時間(67794)/時代(35358)/当時(17471)/同時(13921)/時期(13807)/時点(6323)/日時(5444)/一時(5108)/時計(4686)/時々(2683)/臨時(2518)/時刻(2188)/時価(1029)/戦時(979)/常時(978)/時折(692)/随時(673)/時効(669)/瞬時(590)
14	的	317220	1624.0807	9.529	的(276190)/目的(20361)/公的(2972)/知的(2765)/法的(2314)/的確(1792)/私的(1310)/性的(1160)/人的(892)/質的(674)/劇的(618)/端的(611)/標的(537)/量的(527)/的中(525)/内的(514)/外的(481)/物的(389)/霊的(338)/病的(302)
15	上	309957	1586.8961	10.053	上(74307)/以上(46659)/申し上げ(8450)/上昇(7574)/向上(7518)/上げ(7399)/上がっ(3846)/地上(3685)/上手(3546)/上記(2976)/上司(2903)/取り上げ(2898)/途上(2826)/売上(2474)/上下(2439)/海上(2389)/上げる(2375)/仕上げ(2209)/上がる(2138)/計上(2074)
