熟語	読み	構成（原典のまま）	flag
哀歓	あいかん	対になる漢字の組み合わせ	
握手	あくしゅ	下の字が上の字の目的語・補語	
悪評	あくひょう	上下が修飾・被修飾の関係	
暗示	あんじ	上下が修飾・被修飾の関係	
安穏	あんのん	意味が似た漢字の組み合わせ	
異国	いこく	上下が修飾・被修飾の関係	
異同	いどう	対になる漢字の組み合わせ	
因果	いんが	対になる漢字の組み合わせ	
隠匿	いんとく	意味が似た漢字の組み合わせ	
隠蔽	いんぺい	意味が似た漢字の組み合わせ	
永久	えいきゅう	意味が似た漢字の組み合わせ	
営業	えいぎょう	下の字が上の字の目的語・補語	
栄枯	えいこ	対になる漢字の組み合わせ	
越冬	えっとう	下の字が上の字の目的語・補語	
延期	えんき	下の字が上の字の目的語・補語	
遠近	えんきん	対になる漢字の組み合わせ	
円高	えんだか	上下で主語・述語の関係	
円安	えんやす	上下で主語・述語の関係	
遠路	えんろ	上下が修飾・被修飾の関係	
往復	おうふく	対になる漢字の組み合わせ	
大空	おおぞら	上下が修飾・被修飾の関係	
屋外	おくがい	上下が修飾・被修飾の関係	
屋内	おくない	上下が修飾・被修飾の関係	
恩恵	おんけい	意味が似た漢字の組み合わせ	
温泉	おんせん	上下が修飾・被修飾の関係	
温暖	おんだん	意味が似た漢字の組み合わせ	
絵画	かいが	意味が似た漢字の組み合わせ	
概観	がいかん	上下が修飾・被修飾の関係	
懐疑	かいぎ	下の字が上の字の目的語・補語	
海水	かいすい	上下が修飾・被修飾の関係	
開会	かいかい	下の字が上の字の目的語・補語	
開店	かいてん	下の字が上の字の目的語・補語	
開閉	かいへい	対になる漢字の組み合わせ	
開門	かいもん	下の字が上の字の目的語・補語	
架橋	かきょう	下の字が上の字の目的語・補語	
学習	がくしゅう	意味が似た漢字の組み合わせ	
隔離	かくり	意味が似た漢字の組み合わせ	
加減	かげん	対になる漢字の組み合わせ	
河川	かせん	意味が似た漢字の組み合わせ	
仮定	かてい	上下が修飾・被修飾の関係	
過程	かてい	上下が修飾・被修飾の関係	
加熱	かねつ	下の字が上の字の目的語・補語	
下流	かりゅう	上下が修飾・被修飾の関係	
官営	かんえい	上下で主語・述語の関係	
緩急	かんきゅう	対になる漢字の組み合わせ	
観劇	かんげき	下の字が上の字の目的語・補語	
